Adenolymphoma,D000235,C04.557.435.075
Adenoma,D000236,C04.557.470.035
"Adenoma, Basophil",D000237,C04.557.465.625.650.075; C04.557.470.035.075; C04.557.580.625.650.075
"Adenoma, Chromophobe",D000238,C04.557.465.625.650.095; C04.557.470.035.095; C04.557.580.625.650.095
"Adenoma, Acidophil",D000239,C04.557.465.625.650.025; C04.557.470.035.025; C04.557.580.625.650.025
Adenosine,D000241,D03.633.100.759.590.138; D13.570.583.138; D13.570.800.096
Cyclic AMP,D000242,D03.633.100.759.646.138.395; D13.695.462.200; D13.695.667.138.395; D13.695.827.068.395
Adenosine Deaminase,D000243,D08.811.277.151.486.075
Adenosine Diphosphate,D000244,D03.633.100.759.646.138.124; D13.695.667.138.124; D13.695.827.068.124
Adenosine Diphosphate Glucose,D000245,D03.633.100.759.646.138.124.070.075; D09.408.620.569.070.075; D13.695.667.138.124.070.075; D13.695.827.068.124.070.075; D13.695.827.708.070.075
Adenosine Diphosphate Ribose,D000246,D03.633.100.759.646.138.124.070.125; D09.408.620.569.070.125; D13.695.667.138.124.070.125; D13.695.827.068.124.070.125; D13.695.827.708.070.125
Adenosine Diphosphate Sugars,D000247,D03.633.100.759.646.138.124.070; D09.408.620.569.070; D13.695.667.138.124.070; D13.695.827.068.124.070; D13.695.827.708.070
Adenosine Kinase,D000248,D08.811.913.696.620.010
Adenosine Monophosphate,D000249,D03.633.100.759.646.138.180; D13.695.667.138.180; D13.695.827.068.180
Adenosine Phosphosulfate,D000250,D03.633.100.759.646.138.180.080; D13.695.667.138.180.080; D13.695.827.068.180.080
Adenosine Triphosphatases,D000251,D08.811.277.040.025
Calcium-Transporting ATPases,D000252,D08.811.277.040.025.314.250; D12.776.157.530.450.250.500; D12.776.157.530.813.250; D12.776.543.585.450.250.500; D12.776.543.585.813.250
Sodium-Potassium-Exchanging ATPase,D000254,D08.811.277.040.025.314.750; D12.776.157.530.450.162.780; D12.776.157.530.450.250.880; D12.776.157.530.813.750; D12.776.543.585.450.162.800; D12.776.543.585.450.250.890; D12.776.543.585.813.750
Adenosine Triphosphate,D000255,D03.633.100.759.646.138.236; D13.695.667.138.236; D13.695.827.068.236
Adenoviridae,D000256,B04.280.030
Adenoviridae Infections,D000257,C01.925.256.076
"Adenovirus Infections, Human",D000258,C01.925.256.076.045
Aviadenovirus,D000259,B04.280.030.100
"Adenoviruses, Human",D000260,B04.280.030.500.350
"Adenoviruses, Simian",D000261,B04.280.030.500.700
Adenylyl Cyclases,D000262,D08.811.520.650.200; D12.776.476.050
Adenylate Kinase,D000263,D08.811.913.696.650.025
Adenylosuccinate Lyase,D000264,D08.811.520.232.300.200
Adenylosuccinate Synthase,D000265,D08.811.464.259.100
Adenylyl Imidodiphosphate,D000266,D03.633.100.759.646.138.236.050; D13.695.667.138.236.050; D13.695.827.068.236.050
Tissue Adhesions,D000267,C23.550.355.274.840
Adhesiveness,D000268,G02.860.139
Adhesives,D000269,D27.720.013; J01.637.016
Adie Syndrome,D000270,C10.177.045; C10.292.562.700.250; C11.590.436.200; C11.710.800.180
Adipates,D000272,D02.241.081.337.052
Adipose Tissue,D000273,A10.165.114
Adiposis Dolorosa,D000274,C17.800.463.249; C18.452.584.718.500
Adjustment Disorders,D000275,F03.950.500
"Adjuvants, Immunologic",D000276,D27.505.696.477.067
"Adjuvants, Pharmaceutic",D000277,D26.650.064; D27.720.744.064
"Administration, Buccal",D000278,E02.319.267.100.028; E02.319.267.120.040
"Administration, Cutaneous",D000279,E02.319.267.120.060
"Administration, Inhalation",D000280,E02.319.267.050
"Administration, Intranasal",D000281,E02.319.267.120.655.500
"Administration, Intravaginal",D000282,E02.319.267.120.500
"Administration, Intravesical",D000283,E02.319.267.120.505
"Administration, Oral",D000284,E02.319.267.100
"Administration, Rectal",D000285,E02.319.267.120.655.750
"Administration, Sublingual",D000286,E02.319.267.100.878
"Administration, Topical",D000287,E02.319.267.120
Administrative Personnel,D000288,M01.526.070
"Admitting Department, Hospital",D000289,N02.278.216.500.968.040; N04.452.442.452.422.040
Adnexa Uteri,D000290,A05.360.319.114
Adnexal Diseases,D000291,C12.050.351.500.056; C12.100.250.056
Pelvic Inflammatory Disease,D000292,C01.635.500; C12.050.351.500.056.750; C12.100.250.056.750
Adolescent,D000293,M01.060.057
Adolescent Behavior,D000294,F01.145.022
Adolescent Medicine,D000295,H02.403.014
Adolescent Psychiatry,D000296,F04.096.544.065; H02.403.690.080
"Psychology, Adolescent",D000297,F04.096.628.065
"Adolescent, Hospitalized",D000298,M01.643.050
"Adolescent, Institutionalized",D000299,M01.643.154
Adoption,D000300,I01.880.853.150.140
Adosterol,D000301,D04.210.500.247.808.050; D10.570.938.073
Adrenal Cortex,D000302,A06.300.071.140
Adrenal Cortex Diseases,D000303,C19.053.098
Adrenal Cortex Function Tests,D000304,E01.370.374.050
Adrenal Cortex Hormones,D000305,D06.472.040
Adrenal Cortex Neoplasms,D000306,C04.588.322.078.265; C19.053.098.265; C19.053.347.500; C19.344.078.265
Adrenal Gland Diseases,D000307,C19.053
Adrenocortical Hyperfunction,D000308,C19.053.800
Adrenal Insufficiency,D000309,C19.053.500
Adrenal Gland Neoplasms,D000310,C04.588.322.078; C19.053.347; C19.344.078
Adrenal Glands,D000311,A06.300.071
"Adrenal Hyperplasia, Congenital",D000312,C12.050.351.875.253.090.500; C12.200.706.316.090.500; C12.800.316.090.500; C16.131.939.316.129.500; C16.320.033; C16.320.565.925.249; C18.452.648.925.249; C19.053.440; C19.391.119.090.500
Adrenal Medulla,D000313,A06.300.071.265
Adrenal Rest Tumor,D000314,C04.557.470.035.232
Adrenalectomy,D000315,E04.270.115
Adrenergic alpha-Agonists,D000316,D27.505.519.625.050.100.100; D27.505.696.577.050.100.100
Adrenergic alpha-Antagonists,D000317,D27.505.519.625.050.200.100; D27.505.696.577.050.200.100
Adrenergic beta-Agonists,D000318,D27.505.519.625.050.100.200; D27.505.696.577.050.100.200
Adrenergic beta-Antagonists,D000319,D27.505.519.625.050.200.200; D27.505.696.577.050.200.200
Adrenergic Fibers,D000320,A08.675.100.500; A08.675.542.075; A11.671.501.075
Adrenergic Agonists,D000322,D27.505.519.625.050.100; D27.505.696.577.050.100
Adrenochrome,D000323,D03.633.100.473.025; D23.767.061
Adrenocorticotropic Hormone,D000324,D06.472.699.327.935.531.500; D06.472.699.631.525.600.531.500; D12.644.400.400.935.531.500; D12.644.548.365.935.531.500; D12.644.548.691.525.690.531.500; D12.776.631.650.405.935.531.500
Adrenodoxin,D000325,D12.776.157.427.374.375.025; D12.776.556.579.374.375.025
Adrenoleukodystrophy,D000326,C10.228.140.163.100.084; C10.228.140.163.100.362.250; C10.228.140.695.625.250; C10.314.400.250; C10.597.606.360.455.124; C16.320.322.500.124; C16.320.400.525.124; C16.320.565.189.084; C16.320.565.189.362.250; C16.320.565.663.100; C18.452.132.100.084; C18.452.132.100.362.250; C18.452.648.189.084; C18.452.648.189.362.250; C18.452.648.663.100; C19.053.500.270
Adsorption,D000327,G01.030; G02.020
Adult,D000328,M01.060.116
Advertising,D000329,J01.219.687.274; L01.143.050
Aedes,D000330,B01.050.500.131.617.720.500.500.750.712.500.875.100
Aequorin,D000331,D12.776.532.020
Aerobiosis,D000332,G02.111.017; G03.049
Aeromonas,D000333,B03.440.450.019.025
Aerophagy,D000334,C23.888.821.061
Aerosol Propellants,D000335,D26.255.165.055.055
Aerosols,D000336,D20.280.055; D26.255.165.055
Aerospace Medicine,D000337,H02.403.029
beta-Aminoethyl Isothiourea,D000338,D02.065.950.898.100; D02.886.904.100
Affect,D000339,F01.470.047
"Affective Disorders, Psychotic",D000341,F03.700.150
Affective Symptoms,D000342,F01.145.126.100
Afferent Loop Syndrome,D000343,C06.405.469.531.099; C23.550.767.050
Afferent Pathways,D000344,A08.612.220
Affinity Labels,D000345,D27.720.470.410.080
Afghanistan,D000346,Z01.252.245.782.250
Afibrinogenemia,D000347,C15.378.100.100.056; C15.378.100.141.072; C15.378.463.067; C16.320.099.056
Aflatoxins,D000348,D03.383.663.283.119; D03.633.100.150.119; D23.946.587.142
Africa,D000349,Z01.058
"Africa, Central",D000350,Z01.058.290.100
"Africa, Eastern",D000351,Z01.058.290.120
"Africa, Northern",D000352,Z01.058.266
"Africa, Southern",D000353,Z01.058.290.175
"Africa, Western",D000354,Z01.058.290.190
African Horse Sickness,D000355,C01.920.313.030; C01.925.081.030; C01.925.782.791.142; C22.488.088
African Horse Sickness Virus,D000356,B04.820.223.719.550.050
African Swine Fever,D000357,C01.920.930.125; C01.925.081.078; C01.925.256.142; C22.905.072
African Swine Fever Virus,D000358,B04.280.049.035
Aftercare,D000359,E02.760.169.063; N02.421.585.169.063; N04.590.233.727.210.063
Afterimage,D000360,F02.463.593.932.073; G14.040
Agammaglobulinemia,D000361,C15.378.147.142; C15.604.515.032; C20.673.088
Agar,D000362,D09.698.360.041
Agaricales,D000363,B01.300.179.100
Agaricus,D000364,B01.300.179.100.105
Age Determination by Skeleton,D000365,E01.370.049; E01.370.350.700.050
Age Determination by Teeth,D000366,E01.370.350.700.720.050; E01.370.600.024.650.500; E05.041.650.500; E06.342.764.142; E06.623.500
Age Factors,D000367,N05.715.350.075; N06.850.490.250
Aged,D000368,M01.060.116.100
"Aged, 80 and over",D000369,M01.060.116.100.080
Ageusia,D000370,C10.597.751.861.184; C23.888.592.763.861.184
Agglutination,D000371,G02.111.026; G12.122.100
Agglutination Tests,D000372,E01.370.225.812.735.050; E05.200.812.735.050; E05.478.594.760.050
Agglutinins,D000373,D27.505.696.477.136; D27.505.954.502.270.232
